latitude,longitude,time
48.83303,2.31615,1269980154.0
48.83619,2.32504,1269980460.0
48.83209,2.31409,1269980642.0
48.83619,2.32504,1269984727.0
48.83209,2.31409,1269984967.0
48.83619,2.32504,1269985086.0
48.83209,2.31409,1269985266.0
48.83209,2.31409,1269985625.0
48.83209,2.31409,1269985924.0
48.83619,2.32504,1269986163.0
48.83619,2.32504,1269986403.0
48.83619,2.32504,1269987367.0
48.83619,2.32504,1269987846.0
48.83619,2.32504,1269987965.0
48.83619,2.32504,1269988322.0
48.83619,2.32504,1269990368.0
48.83619,2.32504,1269990667.0
48.83619,2.32504,1269992049.0
48.83619,2.32504,1270043595.0
48.83619,2.32504,1270043604.0
48.8367,2.26693,1270043675.0
48.8367,2.26693,1270043731.0
48.84716,2.26453,1270052974.0
48.8367,2.26693,1270053031.0
48.84497,2.26397,1270053229.0
48.84716,2.26453,1270053301.0
48.84716,2.26453,1270053357.0
48.8367,2.26693,1270053396.0
48.84497,2.26397,1270053469.0
48.84636,2.26432,1270053511.0
48.84636,2.26432,1270053581.0
48.84497,2.26397,1270053894.0
48.84497,2.26397,1270053962.0
48.84497,2.26397,1270054073.0
48.84497,2.26397,1270054123.0
48.84497,2.26397,1270054186.0
48.84807,2.26223,1270054252.0
48.84497,2.26397,1270054333.0
48.84497,2.26397,1270054361.0
48.84497,2.26397,1270054423.0
48.84497,2.26397,1270054480.0
48.84497,2.26397,1270054543.0
48.84497,2.26397,1270054601.0
48.84497,2.26397,1270054664.0
48.8324,2.31698,1270070533.0
48.83206,2.31691,1270070558.0
48.83206,2.31691,1270070672.0
48.83206,2.31691,1270070799.0
48.83206,2.31691,1270070856.0
48.83206,2.31691,1270070915.0
48.83206,2.31691,1270071038.0
48.83206,2.31691,1270071697.0
48.83206,2.31691,1270071759.0
48.83206,2.31691,1270071813.0
48.83206,2.31691,1270071881.0
48.83206,2.31691,1270071939.0
48.83206,2.31691,1270071998.0
48.83206,2.31691,1270072057.0
48.83206,2.31691,1270072242.0
48.83247,2.31605,1270072294.0
48.83206,2.31691,1270072356.0
48.83206,2.31691,1270072417.0
48.83206,2.31691,1270072476.0
48.83206,2.31691,1270072542.0
48.83206,2.31691,1270072596.0
48.83206,2.31691,1270108238.0
48.83979,2.31605,1270108370.0
48.84274,2.31217,1270108491.0
48.84761,2.26558,1270560529.0
43.56284,1.48012,1270560658.0
43.56285,1.48011,1270560717.0
43.56284,1.48015,1270560777.0
43.56286,1.48012,1270560838.0
43.56286,1.48008,1270560897.0
43.56286,1.48009,1270560957.0
43.56279,1.48001,1270561016.0
43.56281,1.48008,1270561076.0
43.56281,1.48008,1270561136.0
43.56283,1.48009,1270561196.0
43.56285,1.48008,1270561256.0
43.56279,1.48014,1270561316.0
43.56279,1.48009,1270561376.0
43.56288,1.4801,1270561436.0
43.56283,1.48005,1270561496.0
43.56278,1.48,1270561556.0
43.5628,1.48009,1270561616.0
43.5628,1.4801,1270561676.0
43.56293,1.48009,1270561736.0
43.56289,1.48009,1270561796.0
43.56287,1.48025,1270561856.0
43.56285,1.4801,1270561916.0
43.56285,1.4801,1270561976.0
43.56299,1.48008,1270562036.0
43.56291,1.48006,1270562096.0
43.56281,1.48004,1270562156.0
43.56286,1.4801,1270562216.0
43.56287,1.48007,1270562276.0
43.56287,1.48008,1270562336.0
43.56286,1.4801,1270562396.0
43.56282,1.48004,1270562456.0
43.56295,1.48047,1270562516.0
43.56288,1.48032,1270562576.0
43.56283,1.48015,1270562639.0
43.56288,1.48,1270562699.0
43.5628,1.48001,1270562759.0
43.56284,1.48007,1270562819.0
43.56289,1.48028,1270562879.0
43.56292,1.48012,1270562939.0
43.56289,1.4801,1270562999.0
43.56183,1.46927,1270563059.0
43.56183,1.46927,1270563173.0
43.56183,1.46927,1270563298.0
43.56183,1.46927,1270563413.0
43.56183,1.46927,1270563537.0
43.56183,1.46927,1270563653.0
43.56183,1.46927,1270563780.0
43.56183,1.46927,1270563893.0
43.55662,1.47,1270564018.0
43.55662,1.47,1270564133.0
43.56118,1.47795,1274287890.0
43.5621,1.47741,1274288434.0
43.4611,1.57173,1274289770.0
43.4611,1.57173,1274291501.0
43.4609,1.57165,1274291620.0
